type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage
single_family,,No description provided.,325000.0,1252.0,2.0,3.0,2.0,2.0,2.0,1.0
single_family,,Shortsale.,308000.0,,,4.0,4.0,4.0,4.0,
multi_family,,"Discover an exceptional investment opportunity in the heart of East New York with this all-brick 6-unit residential building. Boasting 4,920 square feet across three stories, this property features a desirable unit mix of five spacious two-bedroom apartments and one cozy one-bedroom apartment. Ideally located just a short distance from multiple train lines (2/3/4/5), residents enjoy convenient access to transportation, diverse dining options, and local shops. The building features a shared driveway, garage, and a spacious basement, further enhancing its appeal. With one currently vacant unit perfect for an owner-occupant and a total of two units vacant at the time of closing, this property offers immediate cash flow potential and significant upside for investors. Recent updates include a new boiler (less than 1 year old) and a recently renovated roof, ensuring peace of mind and lower maintenance costs. Don't miss this opportunity to own a prime piece of real estate in a vibrant and growing neighborhood.",799999.0,,,11.0,6.0,7.0,7.0,1.0
single_family,,"Classic Cape Cod with 4 bedrooms and 2 full baths, plus a finished walk-out basement that adds valuable living space beyond the 1,400 sq ft above grade. This home features a wood-burning fireplace, an updated kitchen and bath, replacement windows, extensive built-ins, and hardwood floors throughout for a warm, cohesive feel, plus large back deck over looking oversized lot. A large 2-car garage offers excellent storage and convenience. The home sits on a spectacular 0.38-acre, park-like lot that extends across Fleming Creek to the back hedge line-providing natural beauty, privacy, and room to explore. Delayed Negotiations till Monday 3/9 @10AM.",189900.0,1400.0,3.0,4.0,2.0,2.0,2.0,2.0
single_family,,"Spacious 4-bedroom, 2.5-bath two-story home offering 2,074 sq ft of living space on a 9,600 sq ft lot in a location within the Orchard Park School District. This single-family property features a functional layout including a formal living room, dining room, and a family room with sliding glass doors leading to the backyard. Attached garage and private driveway provide ample parking and storage. The property offers a great opportunity for renovation and customization. Ideal for buyers seeking to build equity and make updates to suit their preferences. Conveniently located near shopping, dining, parks, and major roadways. Property is being sold as-is. The seller is calling for the highest and best offers due on Monday at 1:00 pm.",204900.0,2074.0,2.0,4.0,2.0,2.0,2.0,2.0
single_family,,"Welcome to this beautifully maintained 3-bedroom Colonial home sitting on a 40x100 corner lot in a desirable, tree-lined neighborhooda rare find offering space, charm, and location. The first floor features a welcoming foyer, a sun-filled living room with a wood-burning fireplace, a formal dining room perfect for entertaining, and an inviting eat-in kitchen. An updated full bathroom and a convenient first-floor bedroom with direct access to the backyard provide an ideal and flexible layout. The second floor offers two generously sized bedrooms with excellent closet space and abundant natural light, along with a second updated full bathroom. Enjoy outdoor living in the fully paved backyard, perfect for gatherings, relaxing, or low-maintenance enjoyment. A very large detached garage offers exceptional parking and storagean outstanding bonus rarely found. Ideally located near shopping, dining, parks, and public transportation, this home delivers comfort, convenience, and strong value. Easy to show. Priced to sell. Motivated seller. A corner property with fireplace, outdoor space, and garage at this value will not lastschedule your private showing today!",629000.0,1320.0,1.0,3.0,2.0,1.0,2.0,2.0
single_family,,"Just Move In! Overflowing with charm from the exterior to the amazing front door with vaulted ceiing! Maintenance free exterior, professionally landscaped, new concrete driveway, Updated Mechanics, laminate flooring, window treatments, new gas stove, updated Bath wtih tile flooring! Spacious, Bright and cheerful livingroom with recessed lighting and built in corner seat with shelves! Private entrance to rear 2nd bedroom offer catherdral ceiling and adorable window seat offering loads of storage, recessed lighting and viewing 240 ft deep lot just outside the Village! Walk to stores, restaurants and your morning coffee! 2 decorative fireplaces are excluded - Buyer can include kit table and 4 chairs and kit moveable cabinet. One of a kind - Showings begin Thursday, March 5 with Offers due Wednesday, March 11 at 10 a.m.",250000.0,937.0,1.0,2.0,1.0,1.0,1.0,
coop,co_op,"Welcome to 420 Beekman Hill, a full service boutique co-op located in the prestigious Beekman neighborhood. This generously proportioned, 2 bedroom, 2 bathroom home with Southern exposure, offers a highly functional layout with an abundance of storage space throughout. Apartment 5D is in mint condition, features bright southern exposures with serene views overlooking historic Beekman townhomes and is located on a beautifully situated, quiet, cul-de-sac street. The entry foyer leads you to the bright, airy, sun-filled living / dining area that seamlessly creates the perfect ambiance for gracious entertaining and comfortable relaxation. The windowed kitchen features granite counter tops, tiled floors and stainless steel appliances. The primary bedroom can easily accommodate a king sized bed and includes built-in closets and a private en-suite bath. The second bedroom can serve as a guest room, nursery or home office. Located between Beekman Place and 1st Avenue, with direct access to Peter Detmold Park and the East River Esplanade. Also nearby is UN Plaza, FDR drive and local Midtown shops, stores and restaurants. You'll also enjoy the easy access to numerous bus and subway lines. 420 Beekman Hill is a well maintained Cooperative built in 1962, comprising of 108 units and 14 floors. The many amenities include a beautifully landscaped roof deck with sweeping city and river views, 24 hour doorman, refrigerated grocery storage, renovated laundry room, newly installed hi-speed fiber optic internet and a full gym. The building is pet friendly, with a pet wash room in the basement. Parking garage with direct building access and storage units for rent. The double-height lobby with marble flooring was impeccably restored in 2020; plus the building's hallways, carpeting and lighting were completely renovated and updated in 2021. Co purchasing and Pied-Ã -terre allowed. Subletting permitted after two years of occupancy. Land-lease expires in 2070. Apartment is tenant occupied until August 2025.",550000.0,1250.0,,2.0,2.0,2.0,2.0,
multi_family,,"Prime North Bushwick Location! Income-generating Brick 6 Family with Huge Upside Potential! All 2 Bedroom Units. This multi-unit property boasts all 2-bedroom units, perfect for growing families or young professionals. Building will be sold ""as-is"" with all tenants already in place, providing immediate rental income. Gas Boiler, New Water Heater, upgraded electric & gas meters. Close to M/L Train, shopping, and BQE. Minutes from Manhattan.",999000.0,5250.0,3.0,12.0,6.0,6.0,6.0,
condos,condo,"Welcome home to your own little slice of NYC Paradise! This oversized alcove studio is almost 600 SF and features a generous layout and gets great light. It faces south and is extremely quiet. It is priced approximately 60% below market value for a smart and savvy buyer. The apartment is in need of some updating but has been meticulously maintained throughout the years. The pre-war quality of construction is evidenced the moment you enter the apartment. There is a lovely entry foyer with a very large double hung coat closet. As you progress you will walk under a lovely archway that will let you arrive in the main living area. This is where you will find a large walk in closet that has been removed and converted into quite a unique sleeping area. This alcove area is able to accommodate a queen sized bed and/or a murhpy bed. The kitchen has a window for ventilation and light and has the original pre-war cabinetry completely intact. In keeping with the pre-war aesthetic, there are beamed ceilings and original hardwood floors that add a warmth and depth to the apartment. The apartment faces south onto a tree lined street that allows a ton of natural night to cascade in through the wall of windows facing the street. A quite unique feature of this apartment is the prvate dressing room area which leads to the bathroom. This area could also be used as a home office on those days when working from home. The Parc Vendome is one of the premier pre-war condos in NYC. The location in Midtown Manhattan is one of the best locations in NYC. Being a pre-war condo is incredibly unique as most pre-war buildings in NYC are Coops. Another amazing feature of the building is that the common charges include, electricity, heat and hot water. The building is 1 block from Columbus Circle and Central Park. To get to Lincoln Center, Moma or Hells Kitchen is only a 5 minute walk. The building is beyond convenient in terms of location. The buidling has full-time doorman, private gardens, a billiards room, a library, a music room, a card room and more. Don't delay and reach out today with any questions about this amazing apartment. Please note there is currently a rent stabilized tenant in place paying $641.00 per month and the current Common Charges reflect an ongoing assessment of $92.58.",299000.0,582.0,18.0,0.0,1.0,1.0,1.0,
single_family,,"Your opportunity to build fast equity in a stunning newer home! This mostly complete beautiful, contemporary Cape Cod is perfectly positioned on 7.53 peaceful, private, picturesque acres-just five minutes from Cortland and I-81, offering convenient access to both Binghamton and Syracuse. Inside, you'll find a thoughtfully designed layout filled with high-end features. Striking 10-foot ceilings, oversized windows, and a dramatic 19-foot vaulted ceiling in the living room (with space for an optional fireplace) create a bright, open atmosphere. Choose your primary suite on either the first or second floor, both offering comfort and flexibility. The gourmet kitchen features granite countertops, stainless steel appliances, and an open-concept design ideal for entertaining. Flooring includes a rich mix of ceramic tile, solid oak hardwood, and high-quality hickory engineered wood throughout. In addition to the 2114 square feet of open, airy living space, the home also includes a separate 350-square-foot bonus room above the garage -perfect for a home office, studio, gym, or entertainment center. This room could be connected to the upstairs primary suite's private balcony for even more versatility. This 350 additional square feet (with heat and electric already in place) creates a final finished square footage of 2464. Other highlights include a full unfinished basement with a furnace and water heater installed in 2017, California closets, and a luxurious soaking tub. Outside, enjoy the ornamental pond, a utility building with electric, and a 500-gallon underground propane tank. The ""tiny home"" currently on the property will be removed before closing, or could be purchased for an additional $85,000. Inquire if interested. This is a rare and unique opportunity to complete your dream home with the finishes of your choice. Ask your agent for details on the house history (work completed). Cash or construction loan (incl. FHA 203K) best finance options; sold ""as is"" with the right to complete inspections. Aerial video:",295000.0,2464.0,2.0,3.0,2.0,2.0,2.0,2.0
multi_family,,"Colonial-style home featuring 6 bedrooms, 2 full baths, 2 formal dining rooms, and 2 kitchens. Centrally located. Don't miss this opportunity!",603200.0,,,6.0,2.0,2.0,2.0,
condos,condo,"Open House Sunday 12:00-1:30! Welcome to 1 Chenin Run! Situated in the highly sought-after Southern Hills community, this rare end-unit ranch townhome offers the perfect blend of luxury and low-maintenance living. Fall in love with the beautifully remodeled eat-in kitchen, featuring new countertops, a tiled backsplash, appliances, and a dedicated pantry. The Great Room showcases a classic brick-surround electric fireplace, cathedral ceiling, and a sliding door to the private deck. Retreat to the spacious primary suite, complete with double closets and an ensuite bathroom. Practicality meets comfort with a convenient first-floor laundry and an attached two-car garage. The partially finished walk-out basement provides a versatile second living area, a powder room, and ample storage. Step outside to your private patio to enjoy the breathtaking, wooded lot. Enjoy peace of mind with HOA-covered maintenance and Fairport Electric! Delayed negotiations until March 10th, 2026 at noon.",279900.0,1211.0,,2.0,3.0,2.0,2.0,2.0
single_family,,"Now is your chance to own your dream home on one of the most exclusive and private streets in Bay Ridge, just minutes from Shore Road! Perfectly situated on a rarely available 77x100 lot, this 4,400 sq.ft. Center Hall Colonial exudes timeless sophistication and elegance. Adding even more value, the property already includes APPROVED ARCHITECTURAL PLANS to rebuild, offering buyers a rare opportunity to create an even more magnificent residence while saving valuable time and resources. The first floor offers a warm and inviting flow with a spacious living room anchored by a fireplace, a formal dining room ideal for entertaining, a family room overlooking the private backyard, and a chef's kitchen designed for both beauty and function. On the upper level, six generously sized bedrooms provide exceptional comfort, including a massive primary en suite retreat with two walk-in closets and a spa-like bathroom, complemented by two additional full bathrooms. French doors, high ceilings, and a fully finished tiled basement add to the home's charm and practicality. Outside, the sprawling private backyard is a true sanctuary, featuring a large deck and a tranquil waterfall pond where you can enjoy the natural breezes of Shore Road. A private drive and attached one-car garage complete the property. This exceptional residence is surrounded by the Harbor, Shore Road Promenade, and neighborhood parks, with easy access to Manhattan via Express Bus, Ferry, and Subway.",6695000.0,4440.0,2.0,6.0,5.0,4.0,4.0,1.0
multi_family,,"Excellent two-family home tucked away on a dead-end street, featuring a detached garage, full above-ground basement, and favorable layout. This exceptional opportunity provides ease of access to stores, transportation, eateries, and other area conveniences.",499900.0,,,5.0,2.0,2.0,2.0,2.0
single_family,,"Country Side Living at [Redacted Entity], Lima NY. Affordable Living with 3.70 Acres of peaceful serenity. Step inside to this 3 Bdrm, 2 Full Bath, 2-Story with 1st floor laundry for your convenience. Layout offers open and flexible space to enjoy comfortable living. A hobbyist or contractor would love the barn workshop, plus the detached 2-Car garage. Both areas have been used as heated workshops! Don't miss this opportunity to own this wonderful property in the desirable Honeoye Falls-Lima school district. Open Sat. & Sun. from 3-7 and 3-8 from 12-2 pm. Delayed Negotiations on 3-9-26 at 1 pm.",199900.0,1102.0,2.0,3.0,2.0,2.0,2.0,2.0
single_family,,PURSUANT TO THE OFFER BEING REVIEWED WE MAY PLACE THE PROPERTY IN THE UPCOMING AUCTION. ALL BIDS SHOULD BE SUBMITTED (VOID WHERE PROHIBITED). ALL AUTCION PROPERTIES ARE SUBJECT TO A 5% BUYERS PREMIUM PURSUANT TO THE EVENT AGREEMENT AND AUCTION TERMS & CONDITIONS (MINIMUMS WILL APPLY). PLEASE CONTACT LISTING AGENT FOR DETAILS AND COMMISSION PAID ON THIS PROPERTY.,749990.0,,2.0,5.0,4.0,3.0,3.0,2.0
single_family,,"Charming 4-Bedroom Home in the Heart of Little Falls! This spacious and inviting home offers 4 generously sized bedrooms and 1 full bathroom, perfect for those in need of extra space. Featuring a bright living area, formal dining room, and functional layout, this property combines classic charm with everyday comfort. Located on a quiet street yet close to schools, parks, shopping, and local amenities. With a little personal touch, this home has great potential-schedule your showing today!",38000.0,1651.0,2.0,4.0,1.0,1.0,1.0,
single_family,,"Showings begin 9 am, Saturday 3/7/26 & Negotiations begin @ 3 pm on Monday 3/16 ~ Why Rent When YOU Can Own? ~ Manageable Home on almost Half an Acre Lot! ~ Updates Include Windows, Furnace, Patio etc ~ Fully Fenced Backyard ~ No Interior Steps ~ Storage Sheds ~ Close Proximity to The Village ~ Perfect for Downsizing or Starter Home!",170000.0,925.0,1.0,3.0,1.0,1.0,1.0,1.0
